Source Name,Type,Key Aesthetic/UI Feature
Fantasy,Web App / Website,Glassmorphism with caustics
Huge,Web App / Website,Distortion shader effects
Instrument,Web App / Website,Glassmorphism with caustics
Jam3,Web App / Website,Magnetic button hover effects
BORN Group,Web App / Website,Immersive audio soundscapes
Firstborn,Web App / Website,Custom scrollbar aesthetics
Groove Jones,Web App / Website,Micro-interactions on hover
Thinkingbox,Web App / Website,Canvas-based particle systems
Watson/DG,Web App / Website,Glassmorphism with caustics
Winkreative,Web App / Website,Parallax scrolling depth
Work & Co,Web App / Website,Dynamic lighting and shadows
Zendesk Brand,Web App / Website,Kinetic typography
Pitch.com,Web App / Website,Scroll-triggered animations
Linear.app,Web App / Website,Scroll-triggered animations
Vercel Homepage,Web App / Website,Interactive 3D storytelling
Figma Website,Web App / Website,3D object inspection
Notion Website,Web App / Website,Seamless page transitions
Arc Browser Landing,Web App / Website,3D object inspection
Raycast Website,Web App / Website,3D object inspection
Spline Design,Web App / Website,Distortion shader effects
Rive App Website,Web App / Website,Ink-bleed reveal effects
LottieFiles,Web App / Website,Webgl water ripples
Framer Website,Web App / Website,Webgl water ripples
Webflow Homepage,Web App / Website,Glassmorphism with caustics
GSAP Showcase,Web App / Website,Glassmorphism with caustics
Codrops Demos,Web App / Website,Seamless page transitions
Awwwards Site of the Month,Web App / Website,Interactive 3D storytelling
FWA of the Day,Web App / Website,Distortion shader effects
CSS Design Awards Winner,Web App / Website,Glassmorphism with caustics
Siteinspire Feature,Web App / Website,3D object inspection
HoverStates,Web App / Website,Immersive audio soundscapes
One Page Love,Web App / Website,Webgl water ripples
Typewolf Featured,Web App / Website,WebGL fluid transitions
Godly Website,Web App / Website,Scroll-triggered animations
Mobbin Design,Web App / Website,3D object inspection
UI Jar,Web App / Website,3D object inspection
Land-book,Web App / Website,WebGL fluid transitions
Lapa Ninja,Web App / Website,Ink-bleed reveal effects
Awwwards Winner 1,Web App / Website,Scroll-triggered animations
Awwwards Winner 2,Web App / Website,3D object inspection
Awwwards Winner 3,Web App / Website,3D object inspection
Awwwards Winner 4,Web App / Website,Distortion shader effects
Awwwards Winner 5,Web App / Website,Custom cursor trails
Awwwards Winner 6,Web App / Website,Immersive audio soundscapes
Awwwards Winner 7,Web App / Website,Magnetic button hover effects
Awwwards Winner 8,Web App / Website,Scroll-triggered animations
Awwwards Winner 9,Web App / Website,Canvas-based particle systems
Awwwards Winner 10,Web App / Website,Interactive 3D storytelling
Awwwards Winner 11,Web App / Website,Interactive 3D storytelling
Awwwards Winner 12,Web App / Website,3D object inspection
Awwwards Winner 13,Web App / Website,Magnetic button hover effects
Awwwards Winner 14,Web App / Website,Micro-interactions on hover
Awwwards Winner 15,Web App / Website,Interactive WebGL globe
Awwwards Winner 16,Web App / Website,Custom scrollbar aesthetics
Awwwards Winner 17,Web App / Website,Custom scrollbar aesthetics
Awwwards Winner 18,Web App / Website,Parallax scrolling depth
Awwwards Winner 19,Web App / Website,3D object inspection
Awwwards Winner 20,Web App / Website,Micro-interactions on hover
Awwwards Winner 21,Web App / Website,Canvas-based particle systems
Awwwards Winner 22,Web App / Website,Interactive 3D storytelling
Awwwards Winner 23,Web App / Website,3D object inspection
Awwwards Winner 24,Web App / Website,Webgl water ripples
Awwwards Winner 25,Web App / Website,Immersive audio soundscapes
Awwwards Winner 26,Web App / Website,Smooth Locomotive scroll
Sea of Thieves,Game,"Grungy, worn-texture interfaces"
Assassin's Creed IV: Black Flag,Game,Particle-rich reward screens
Return of the Obra Dinn,Game,Radial action menus
Monkey Island,Game,Stylized cel-shaded UI
Skull and Bones,Game,Spatial menus
Pillars of Eternity II: Deadfire,Game,Immersive minimap/world map
Dishonored,Game,Fluid combat UI popups
Elden Ring,Game,Particle-rich reward screens
Dark Souls,Game,Tactile inventory management
Bloodborne,Game,Particle-rich reward screens
The Witcher 3,Game,Interactive lore books (skeuomorphic)
Skyrim,Game,Immersive minimap/world map
Zelda: Breath of the Wild,Game,Ink/Parchment map style
Zelda: Tears of the Kingdom,Game,Glowing neon/cyberpunk aesthetics
Persona 5,Game,Skill tree progression UI
Hades,Game,Context-sensitive prompt UI
Hollow Knight,Game,Radial action menus
Ori and the Blind Forest,Game,Context-sensitive prompt UI
Ori and the Will of the Wisps,Game,Satisfying loot unboxing animations
Dead Cells,Game,Quest tracking compass
Destiny 2,Game,Skill tree progression UI
Warframe,Game,Dynamic depth of field
World of Warcraft,Game,Fog of war mechanics
Final Fantasy XIV,Game,Interactive lore books (skeuomorphic)
Guild Wars 2,Game,Ink/Parchment map style
Cyberpunk 2077,Game,Haptic-style visual feedback
Deus Ex: Human Revolution,Game,Stylized cel-shaded UI
Mass Effect 2,Game,Tactile inventory management
Halo Infinite,Game,Quest tracking compass
DOOM Eternal,Game,"Grungy, worn-texture interfaces"
God of War (2018),Game,Satisfying loot unboxing animations
God of War Ragnarok,Game,Skill tree progression UI
Ghost of Tsushima,Game,Quest tracking compass
Horizon Zero Dawn,Game,Context-sensitive prompt UI
Horizon Forbidden West,Game,Dynamic depth of field
Red Dead Redemption 2,Game,Particle-rich reward screens
Grand Theft Auto V,Game,Radial action menus
The Last of Us Part II,Game,Glowing neon/cyberpunk aesthetics
Uncharted 4,Game,Haptic-style visual feedback
Tomb Raider,Game,Interactive lore books (skeuomorphic)
Spider-Man (Insomniac),Game,Satisfying loot unboxing animations
Batman: Arkham Knight,Game,Quest tracking compass
Shadow of the Colossus,Game,Tactile inventory management
Journey,Game,Skill tree progression UI
Abzu,Game,Dynamic weather systems
Gris,Game,Quest tracking compass
Inside,Game,Dynamic depth of field
Limbo,Game,Glowing neon/cyberpunk aesthetics
Celeste,Game,Stylized cel-shaded UI
Cuphead,Game,Stylized cel-shaded UI
Disco Elysium,Game,Glowing neon/cyberpunk aesthetics
Divinity: Original Sin 2,Game,Interactive lore books (skeuomorphic)
Baldur's Gate 3,Game,Skill tree progression UI
XCOM 2,Game,Spatial menus
Civilization VI,Game,Radial action menus
Stellaris,Game,Ink/Parchment map style
Crusader Kings III,Game,Dynamic weather systems
Age of Empires II,Game,"Grungy, worn-texture interfaces"
StarCraft II,Game,Diegetic UI design
Warcraft III,Game,Context-sensitive prompt UI
League of Legends,Game,Dynamic depth of field
Dota 2,Game,Tactile inventory management
Valorant,Game,Diegetic UI design
Overwatch 2,Game,Context-sensitive prompt UI
Apex Legends,Game,Skill tree progression UI
Fortnite,Game,Haptic-style visual feedback
PUBG,Game,Glowing neon/cyberpunk aesthetics
Call of Duty: Warzone,Game,Quest tracking compass
Rainbow Six Siege,Game,Dynamic depth of field
Counter-Strike 2,Game,Stylized cel-shaded UI
Genshin Impact,Game,Dynamic weather systems
Honkai: Star Rail,Game,Diegetic UI design
Final Fantasy XVI,Game,Particle-rich reward screens
Final Fantasy VII Remake,Game,Diegetic UI design
Kingdom Hearts III,Game,Quest tracking compass
Super Mario Odyssey,Game,Haptic-style visual feedback
Super Smash Bros. Ultimate,Game,Fog of war mechanics
Mario Kart 8 Deluxe,Game,Interactive lore books (skeuomorphic)
Animal Crossing: New Horizons,Game,Dynamic depth of field
Splatoon 3,Game,Radial action menus
Metroid Dread,Game,Interactive lore books (skeuomorphic)
Luigi's Mansion 3,Game,Immersive minimap/world map
Fire Emblem: Three Houses,Game,Tactile inventory management
Xenoblade Chronicles 3,Game,Skill tree progression UI
Bayonetta 3,Game,Interactive lore books (skeuomorphic)
Monster Hunter: World,Game,Immersive minimap/world map
Monster Hunter Rise,Game,Fluid combat UI popups
Resident Evil 4 Remake,Game,Stylized cel-shaded UI
Resident Evil Village,Game,Stylized cel-shaded UI
Devil May Cry 5,Game,Ink/Parchment map style
Street Fighter 6,Game,Spatial menus
Tekken 8,Game,"Grungy, worn-texture interfaces"
Mortal Kombat 1,Game,Particle-rich reward screens
Guilty Gear Strive,Game,Tactile inventory management
Dragon Ball FighterZ,Game,"Grungy, worn-texture interfaces"
NieR: Automata,Game,Tactile inventory management
Sekiro: Shadows Die Twice,Game,Glowing neon/cyberpunk aesthetics
Armored Core VI,Game,Fluid combat UI popups
Death Stranding,Game,Skill tree progression UI
Metal Gear Solid V,Game,Context-sensitive prompt UI
